序号,彝文,中文,英文
532,󲤣,1、酸痛；2、疾病（泛指）,"1. 酸痛; 2. 疾病 (泛point, indicate)"
533,󲤤,（灭）绝,(灭) 绝
534,󲤥,（重叠词缀）,（overlapping词缀）
535,󲤦,（芭蕉、香蕉）,"（芭蕉, 香蕉）"
536,󲤧,（植物的）嫩颠（尖）,"(植object, thing的) 嫩颠 (尖)"
537,󲤨,1、雨；2、冰雹；3、名词用词；,"1. 雨; 2. 冰雹; 3, 名词用词; "
538,󲤩,屁,屁
539,󲤪,（点）燃,(点) 燃
540,󲤫,甜,甜
541,󲤬,一绺（liu）线,"one绺(liu) thread, line"
542,󲤭,传承,传承
543,󲤮,（拳头）,（拳头）
544,󲤯,祭祀,祭祀
545,󲤰,荫,荫
546,󲤱,封，包（量词）,"封, pack, wrap (量词)"
547,󲤲,1、烧；2、焚（尸），火葬；,"1. 烧; 2. 焚(尸) , firebury, inter; "
548,󲤳,嗫（嚅）（nieru）,嗫(嚅)  (nieru)
549,󲤴,1、（布谷鸟）；2、（小杜鹃花）,1. (布谷鸟) ; 2.  (小杜鹃花)
550,󲤵,一（数词）,one (数词)
551,󲤶,弹,弹
552,󲤷,苔,苔
553,󲤸,（抛弃）,（抛弃）
554,󲤹,眨（眼）,眨 (eye)
555,󲤺,十（数词）,ten (数词)
556,󲤻,滴（水）,滴 (水)
557,󲤼,（心胸）,"（heart, mind胸）"
558,󲤽,取（蜂蜜）,取 (蜂蜜)
559,󲤾,病，痛,"病, 痛"
560,󲤿,立即,立即
561,󲥀,越过,越过
562,󲥁,（德行）,（德行）
563,󲥂,星,star
564,󲥃,把（量词）,把 (量词)
565,󲥄,二（量词）,two (量词)
566,󲥅,皱,皱
567,󲥆,牢固,牢固
568,󲥇,害,害
569,󲥈,说,说
570,󲥉,核,核
571,󲥊,耽搁,耽搁
572,󲥋,（稀烂）,（稀烂）
573,󲥌,帮（助）,帮 (助)
574,󲥍,（量词）根、头、个、条、只,"(量词) 根, 头, 个, strip, item, 只"
575,󲥎,绘画,绘画
576,󲥏,（昨晚）,（昨晚）
577,󲥐,俯卧,俯卧
578,󲥑,尸（体）,尸 (体)
579,󲥒,朝，向,"朝, 向"
580,󲥓,东,东
581,󲥔,1、干（燥）；2、穷（困）；,1. dry(燥) ; 2. 穷(困) ; 
582,󲥕,磨（动词）,磨 (动词)
583,󲥖,安心,"安heart, mind"
584,󲥗,1、顽皮，俏皮；2、开玩笑；,"1. 顽皮, 俏皮; 2. drive, operateplay笑; "
585,󲥘,挑拨,挑拨
586,󲥙,祖禄,祖禄
587,󲥚,重字,重字
588,󲥛,侧（身）,侧 (身)
589,󲥜,1、骑（动词）；2、骑（量词）；,1. 骑(动词) ; 2. 骑(量词) ; 
590,󲥝,纠缠,纠缠
591,󲥞,认真,"serious, earnest"
592,󲥟,1、肝；2、（生血菜）,1. 肝; 2.  (生血菜)
593,󲥠,（象声词）,（onomatopoeia）
594,󲥡,1、书；2、字；3、书信；,"1. 书; 2. 字; 3, 书信; "
595,󲥢,三（数词）,three (数词)
596,󲥣,1、柱子；2、极；,1. 柱子; 2. 极; 
597,󲥤,1、拼（力）；2、咬；,1. 拼(力) ; 2. 咬; 
598,󲥥,栽，种植,"栽, 种植"
599,󲥦,（螳螂）,（螳螂）
600,󲥧,（麻疹）,"（hemp, numb疹）"
601,󲥨,（壁虎）,（壁虎）
602,󲥩,（声音）,（声音）
603,󲥪,荸荠（荸荠）,荸荠 (荸荠)
604,󲥫,齐,齐
605,󲥬,妨碍,妨碍
606,󲥭,烧（肉）的气味,烧(肉) 的气味
607,󲥮,（火）旺,(fire) 旺
608,󲥯,1、事情；2、事故；,1. 事情; 2. 事故; 
609,󲥰,彝,彝
610,󲥱,1、红；2、（火）旺；3、（部落名）；4、地名用词；5、人名用词；,"1. 红; 2. (fire) 旺; 3, (部fall, drop名) ; 4, place name用词; 5, person, people名用词; "
611,󲥲,堵（量词）,堵 (量词)
612,󲥳,松脱,"松shed, fall off"
613,󲥴,西（方）,"西 (square, direction)"
614,󲥵,摇动,"shake, rock"
615,󲥶,沉（甸）,沉 (甸)
616,󲥷,哼,哼
617,󲥸,下（雨）,"descend, go down (雨)"
618,󲥹,1、摇摆；2、（蠕动）,"1. 摇摆; 2.  (wriggle, crawl)"
619,󲥺,1、随便，胡乱；2、很、不得了（补语）；,"1. follow, accompany便, 胡乱; 2. 很, 不得了(补语) ; "
620,󲥻,1、手；2、（私房）；2、（翅膀）；4、（胡琴）；,"1. hand; 2. (私房) ; 2, (翅膀) ; 4, (胡琴) ; "
621,󲥼,山谷,山谷
622,󲥽,1、（高山峻岭）；2、专用名词；3、（凤凰）；,"1. (高山峻岭) ; 2. 专用名词; 3, (凤凰) ; "
623,󲥾,淤,淤
624,󲥿,（镰刀）,（sickle）
625,󲦀,脱,"shed, fall off"
626,󲦁,纸，书,"纸, 书"
627,󲦂,1、降落；2、落下；,"1. fall, dropfall, drop; 2. fall, dropdescend, go down; "
628,󲦃,（络绎不绝）,（in endless stream）
629,󲦄,围（堵）、围（攻）,"围(堵) , 围 (攻)"
630,󲦅,1、拨，扯；2、（词素）；,"1. 拨, 扯; 2. (词素) ; "
631,󲦆,（马）笼头,(horse) 笼头
632,󲦇,嫌（人）,"嫌 (person, people)"
633,󲦈,赚（钱）,赚 (钱)
634,󲦉,1、转；2、转（动）；3、转（量词）；,"1. 转; 2. 转(动) ; 3, 转(量词) ; "
635,󲦊,1、（设、购、添）置；2、专用名词；,"1. (设, 购, 添) 置; 2. 专用名词; "
636,󲦋,切（动词）,切 (动词)
637,󲦌,（盛粮食的）围席（名词、量词）,"(盛粮食的) 围席 (名词, 量词)"
638,󲦍,（说话切题）；,(说话切题) ; 
639,󲦎,谢谢,谢谢
640,󲦏,1、童裙；2、（北斗七星）；,1. 童裙; 2. (北斗sevenstar) ; 
641,󲦐,噎嗝（yege）,噎嗝 (yege)
642,󲦑,戏,戏
643,󲦒,1、天；2、日期,"1. sky, heaven; 2. 日期"
644,󲦓,1、七（数词）；2、专用名词；3、人名用词；,"1. seven(数词) ; 2. 专用名词; 3, person, people名用词; "
645,󲦔,（认错）,（认错）
646,󲦕,（吆猪声）,（吆猪声）
647,󲦖,楼,楼
648,󲦗,（蕨）苔,(蕨) 苔
649,󲦘,搔（sao）,搔 (sao)
650,󲦙,骗,骗
651,󲦚,顶好，最好；,"top, support好, 最好; "
652,󲦛,解（大、小便）,"解 (big, large, 小便)"
653,󲦜,突然,突然
654,󲦝,刀,刀
655,󲦞,1、与；2、（互）相；,1. 与; 2. (互) 相; 
656,󲦟,1、得；2、（回答）,1. 得; 2.  (回答)
657,󲦠,亲（爱）,亲 (爱)
658,󲦡,（先前）,（先前）
659,󲦢,傻,傻
660,󲦣,（花）蕾,(花) 蕾
661,󲦤,万（数词）,ten thousand (数词)
662,󲦥,1、（水）沸腾；2、（水）泛滥；3、（水）冒；,"1. (水) 沸腾; 2. (水) 泛滥; 3, (水) 冒; "
663,󲦦,1、（海拔较低的河坝地区；2、（亚热带）；,"1. (海拔较低的河坝place, locationdistrict, area; 2. （亚热带) ; "
664,󲦧,1、根由；2、（格言‘谚语）；,1. 根由; 2. (格言‘谚语) ; 
665,󲦨,（受）伤,(受) 伤
666,󲦩,1、参（与）；2、方面；,"1. 参(与) ; 2. square, directionface, surface; "
667,󲦪,（襁）褓（包婴儿用的被子、毯等）,"(襁) 褓 (pack, wrap婴儿用的被子, 毯等)"
668,󲦫,钢,钢
669,󲦬,开,"drive, operate"
670,󲦭,背（动词）,背 (动词)
671,󲦮,（小腿肚）,（小腿肚）
672,󲦯,（颤）抖,(颤) 抖
673,󲦰,婆家,婆家
674,󲦱,茁壮,茁壮
675,󲦲,1、身体；2、（洗澡、月经（讳称））,"1. 身体; 2. (洗澡, 月经 (讳称) )"
676,󲦳,芦笙，竹笙,"芦笙, 竹笙"
677,󲦴,作客,作客
678,󲦵,漏斗,漏斗
679,󲦶,（庄稼地里的）杂草,"(cropsplace, location里的) 杂grass"
680,󲦷,各自,各自
681,󲦸,（向前）冲,(向前) 冲
682,󲦹,1、做；2、（地名用词）；,1. 做; 2. (place name用词) ; 
683,󲦺,1、（人名用词）；2、表示惊讶；,"1. (person, people名用词) ; 2. 表示startle, shock讶; "
684,󲦻,罚,罚
685,󲦼,可惜,可惜
686,󲦽,擂,擂
687,󲦾,进、入,"进, 入"
688,󲦿,1、（桌子）；2、（磨担秋）；,1. (桌子) ; 2. (磨shoulder pole秋) ; 
689,󲧀,（集中精力）听,(集中精力) 听
690,󲧁,同时,同时
691,󲧂,分数,分数
692,󲧃,（臁疮）,（臁疮）
693,󲧄,炷,炷
694,󲧅,腥（气）、膻（味）,"腥(气) , 膻 (味)"
695,󲧆,潮湿,潮湿
696,󲧇,密,密
697,󲧈,1、生长着；2、（人名用词）；,"1. 生长着; 2. (person, people名用词) ; "
698,󲧉,1、居住；2、（基业）；3、（地名用词）；,"1. 居住; 2. (基业) ; 3, (place name用词) ; "
699,󲧊,神,神
700,󲧋,1、（木炭）；2、（樟木）；3、（香杉）；,"1. (wood炭) ; 2. (樟wood) ; 3, (香杉) ; "
701,󲧌,（行动）迟缓、慢,"(行动) 迟缓, 慢"
702,󲧍,雄伟,雄伟
703,󲧎,抚摸,抚摸
704,󲧏,忍,忍
705,󲧐,绣（花）,绣 (花)
706,󲧑,（舂）融,(舂) 融
707,󲧒,（双手）围，抱（量词）,"(双hand) 围, 抱 (量词)"
708,󲧓,下,"descend, go down"
709,󲧔,剃（头）修（面）,"剃(头) 修 (face, surface)"
710,󲧕,（清晰明亮）,（清晰明亮）
711,󲧖,（算了，罢了）,"（算了, 罢了）"
712,󲧗,愁闷,愁闷
713,󲧘,（龙胆草）,（龙胆grass）
714,󲧙,（草果；缓和）,（grass果; 缓和）
715,󲧚,儴解,儴解
716,󲧛,能装,能装
717,󲧜,绩（麻）,"绩 (hemp, numb)"
718,󲧝,芽,芽
719,󲧞,坡,坡
720,󲧟,朋友,朋友
721,󲧠,近,近
722,󲧡,（灰彩页）,"（ash, gray彩页）"
723,󲧢,鼻,鼻
724,󲧣,逗（小孩）,逗 (小孩)
725,󲧤,（植物）出芽,"(植object, thing) 出芽"
726,󲧥,1、硝（名词）；2、硝（动词）,1. 硝(名词) ; 2. 硝 (动词)
727,󲧦,秧（苗）,秧 (苗)
728,󲧧,孙,孙
729,󲧨,电,电
730,󲧩,（散 )乱,（散 )乱
731,󲧪,（楼枕）,（楼枕）
732,󲧫,（坑道）,（坑道）
733,󲧬,1、松；2、宽松；,"1. 松; 2. wide, broad松; "
734,󲧭,较量,较量
735,󲧮,（遮）挡,(遮) 挡
736,󲧯,祭献,祭献
737,󲧰,（麻）雀,"(hemp, numb) 雀"
738,󲧱,填塞,填塞
739,󲧲,（纸张、衣服）破烂,"(纸张, 衣服) 破烂"
740,󲧳,1、葱；2、（象声词）,1. 葱; 2.  (onomatopoeia)
741,󲧴,（尾）巴,(tail) 巴
742,󲧵,赚（钱），挣（钱）,"赚(钱) , 挣 (钱)"
743,󲧶,（（彝语北部方言）圣乍次方言）,"( (彝语北部square, direction言) 圣乍次square, direction言)"
744,󲧷,1、锦；2、（锦江）,1. 锦; 2.  (锦江)
745,󲧸,炼,炼
746,󲧹,1、紧；2、忙；3、（着）急；,"1. 紧; 2. 忙; 3, (着) 急; "
747,󲧺,遗传,遗传
748,󲧻,茶,茶
749,󲧼,忍（饿）,忍 (饿)
750,󲧽,（酸角）,（酸角）
751,󲧾,制度，规矩，法律，原则,"system, institution, 规矩, 法律, 原则"
752,󲧿,肺,肺
753,󲨀,（气）阻,(气) 阻
754,󲨁,1、粉青色；2、花白色；,1. powder青color; 2. 花白color; 
755,󲨂,1、六；2、六祖；,1. six; 2. six祖; 
756,󲨃,缺,缺
757,󲨄,怀孕,怀孕
758,󲨅,1、走动；2、散步；,1. 走动; 2. 散步; 
759,󲨆,（向上）冒,(向上) 冒
760,󲨇,1、青；2、（地支）；3、（人名用词）；4、（地名用词）；,"1. 青; 2. (place, location支) ; 3, (person, people名用词) ; 4, (place name用词) ; "
761,󲨈,踩,踩
762,󲨉,（从上下滑）声,"(从上descend, go downsmooth, slippery) 声"
763,󲨊,谢谢,谢谢
764,󲨋,1、（领）牌；2、古怪；,1. (领) 牌; 2. 古怪; 
765,󲨌,（保）佑,(保) 佑
766,󲨍,小时,小时
767,󲨎,糊（焦）,"糊 (charred, burnt)"
768,󲨏,犁（名词）,犁 (名词)
769,󲨐,（屋檐下）,"（屋檐descend, go down）"
770,󲨑,小（路），毛（路）；,"小(路) , hair, wool(路) ; "
771,󲨒,大象,"big, large象"
772,󲨓,康复,康复
773,󲨔,(语气词）,(语气词）
774,󲨕,九节狸；黄腰狸；白面狸；花狸；,"nine节狸; 黄腰狸; 白face, surface狸; 花狸; "
775,󲨖,畜牲（古语）,畜牲 (ancient saying)
776,󲨗,1、拌；2、调；,1. 拌; 2. 调; 
777,󲨘,削（尖）,削 (尖)
778,󲨙,关，闭,"关, 闭"
779,󲨚,（乒乒砰砰）,（乒乒砰砰）
780,󲨛,群（量词）,群 (量词)
781,󲨜,（臀部）,（臀部）
782,󲨝,翘,翘
783,󲨞,（剖）开,"(剖) drive, operate"
784,󲨟,落（使动）,"fall, drop (使动)"
785,󲨠,（芋头）,（芋头）
786,󲨡,彗（星）,彗 (star)
787,󲨢,（离开群体）,"（离drive, operate群体）"
788,󲨣,鬼,鬼
789,󲨤,（蝴蝶）,（蝴蝶）
790,󲨥,（监狱）,（监狱）
791,󲨦,帮（名词）,帮 (名词)
792,󲨧,捆（量词）,捆 (量词)
793,󲨨,（核桃）,（核桃）
794,󲨩,1、忘记（了）；2、（老鼠）；,1. 忘记(了) ; 2. (老鼠) ; 
795,󲨪,兵、军,"兵, 军"
796,󲨫,发（给）,发 (给)
797,󲨬,1、（鬼）作祟；2、冤衍；,1. (鬼) 作祟; 2. 冤衍; 
798,󲨭,1、（弟）兄；,"1, (弟) elder brother; "
799,󲨮,力,力
800,󲨯,（灶孔）,（灶孔）
801,󲨰,（虐待）,（虐待）
802,󲨱,班、辈,"班, 辈"
803,󲨲,捏,捏
804,󲨳,挤（奶）,挤 (奶)
805,󲨴,磨,磨
806,󲨵,癫痫病,癫痫病
807,󲨶,林,林
808,󲨷,大麦,"big, large麦"
809,󲨸,换（工）,换 (工)
810,󲨹,（围）堵（古语）,(围) 堵 (ancient saying)
811,󲨺,1、拿着；2、握；,1. 拿着; 2. 握; 
812,󲨻,喷嚏,喷嚏
813,󲨼,累，疲倦,"累, 疲倦"
814,󲨽,下方,"descend, go downsquare, direction"
815,󲨾,（加盐佐料）泡,(加盐佐料) 泡
816,󲨿,死板，不灵活,"死板, 不灵活"
817,󲩀,割,"cut, reap"
818,󲩁,鸽子，斑鸠,"鸽子, 斑鸠"
819,󲩂,（背扇）,（背扇）
820,󲩃,（火）镰，（火石）,"(fire) 镰,  (fire石)"
821,󲩄,镶,镶
822,󲩅,肮脏，污染,"肮脏, 污染"
823,󲩆,吸（烟）,吸 (烟)
824,󲩇,寻觅（踪迹）,寻觅 (踪迹)
825,󲩈,跳,跳
826,󲩉,1、舒适；2、（补药）；,1. 舒适; 2. (补药) ; 
827,󲩊,吸吮,吸吮
828,󲩋,1、敬奉；2、祝（酒）；,"1. 敬奉; 2. 祝(wine, alcohol) ; "
829,󲩌,贷、借（不还原物的借）,"贷, 借 (不还原object, thing的借)"
830,󲩍,庶（民）,庶 (民)
831,󲩎,（豆腐）,（豆腐）
832,󲩏,尺（度）,尺 (度)
833,󲩐,恶龙,恶龙
834,󲩑,（鲸鱼）,（鲸鱼）
835,󲩒,瘦（肉），精（肉）,"瘦(肉) , 精 (肉)"
836,󲩓,（燕子）；（叽里，蟋蟀叫声）,"(燕子) ;  (叽里, 蟋蟀叫声)"
837,󲩔,禁止,禁止
838,󲩕,兆（数词）,兆 (数词)
839,󲩖,传染,传染
840,󲩗,（生气，发怒）,"（生气, 发怒）"
841,󲩘,1、栖息；2、穴居；3、群；4；窝,"1. 栖息; 2. 穴居; 3, 群; 4; 窝"
842,󲩙,1、称，衡量；2、量,"1. 称, 衡量; 2. 量"
843,󲩚,岔开,"岔drive, operate"
844,󲩛,穿串,"pierce, penetrate串"
845,󲩜,（柿子）,（柿子）
846,󲩝,麸（fu）皮,麸(fu) 皮
847,󲩞,玉,玉
848,󲩟,（象声词）（禁不住发笑的声音）,(onomatopoeia)  (禁不住发笑的声音)
849,󲩠,前（后），周（围）,"前(后) , 周 (围)"
850,󲩡,（天井）,"（sky, heaven井）"
851,󲩢,明（天）,"明 (sky, heaven)"
852,󲩣,（石）沙,(石) 沙
853,󲩤,（取钱）,（取钱）
854,󲩥,卡,卡
855,󲩦,站（立）,站 (立)
856,󲩧,嘴,嘴
857,󲩨,发烧,发烧
858,󲩩,倒塌,倒塌
859,󲩪,（一）切,(one) 切
860,󲩫,（什么）,（什么）
861,󲩬,招（手）,招 (hand)
862,󲩭,威胁,威胁
863,󲩮,1、（吉利）；2、（人名用词）,"1. (吉利) ; 2.  (person, people名用词)"
864,󲩯,留（念、下）,"留 (念, descend, go down)"
865,󲩰,药,药
866,󲩱,1、（沼泽地）；2、（人名用词）；,"1. (沼泽place, location) ; 2. (person, people名用词) ; "
867,󲩲,钻、凿,"drill, bore, 凿"
868,󲩳,（墨水）,（墨水）
869,󲩴,1、潲（雨）；2、（白鹇（鸟名））；,1. 潲(雨) ; 2. (白鹇 (鸟名) ); 
870,󲩵,住宿,住宿
871,󲩶,揉,揉
872,󲩷,棕（树）,棕 (树)
873,󲩸,抱,抱
874,󲩹,狠,狠
875,󲩺,碰,碰
876,󲩻,除（掉）,除 (掉)
877,󲩼,（傻子）,（傻子）
878,󲩽,定,定
879,󲩾,（花衣服（专指彝族妇女上衣盛装））,"(花衣服 (专point, indicate彝族妇女上衣盛装) )"
880,󲩿,1、角落；2、拐角；,"1. 角fall, drop; 2. 拐角; "
881,󲪀,（饲养）槽,(饲养) 槽
882,󲪁,（质量）特差,(质量) 特差
883,󲪂,（胎盘）,（胎盘）
884,󲪃,（向神）许愿,(向神) 许愿
885,󲪄,总是,always
886,󲪅,堵塞,堵塞
887,󲪆,扫,扫
888,󲪇,（形容词缀）,（形容词缀）
889,󲪈,焙,焙
890,󲪉,辛苦、劳累,"辛苦, 劳累"
891,󲪊,（（对姨母、婶娘、伯母等的间接）称呼）,"( (对姨母, 婶娘, 伯母等的间接) 称呼)"
892,󲪋,（故）事,(故) 事
893,󲪌,家、户,"家, 户"
894,󲪍,古代彝族首领为建立政权而祭天、地、祖宗时举行“过关祈福”的一种仪式,"古代彝族首领为建立政权而祭sky, heaven, place, location, 祖宗时举行“过关祈福”的one种仪式"
895,󲪎,（用手）剔,(用hand) 剔
896,󲪏,突（然）、忽（然）,"突(然) , 忽 (然)"
897,󲪐,守卫、保卫,"守卫, 保卫"
898,󲪑,慎重,慎重
899,󲪒,哼、叫,"哼, 叫"
900,󲪓,粗糙,粗糙
901,󲪔,戴（使动）,戴 (使动)
902,󲪕,（子弹）上（堂）,(子弹) 上 (堂)
903,󲪖,过（新年）,过 (新年)
904,󲪗,饱满,饱满
905,󲪘,天井,"sky, heaven井"
906,󲪙,满,满
907,󲪚,发热,发热
908,󲪛,轿（子）,轿 (子)
909,󲪜,1、悲（伤）；2、（疲倦）,1. 悲(伤) ; 2.  (疲倦)
910,󲪝,板（面孔）,"板 (face, surface孔)"
911,󲪞,1、丢、扔；2、抛弃；,"1. 丢, 扔; 2. 抛弃; "
912,󲪟,伴随,"accompanyfollow, accompany"
913,󲪠,1、（堆）尖；2、过分,1. (堆) 尖; 2. 过分
914,󲪡,1、场、坝子，街道，场坝；2、场（量词）；,"1. 场, 坝子, 街道, 场坝; 2. 场(量词) ; "
915,󲪢,减（少）、减（产）,"减(少) , 减 (产)"
916,󲪣,止沸,止沸
917,󲪤,扇（量词）,扇 (量词)
918,󲪥,（开）裂,"(drive, operate) 裂"
919,󲪦,熟地（开垦后种熟了的地）,"cooked, ripeplace, location (drive, operate垦后种cooked, ripe了的place, location)"
920,󲪧,皇帝,皇帝
921,󲪨,香（味）,香 (味)
922,󲪩,菲篥（li）（一种吹奏的草杆乐器）,菲篥(li)  (one种吹奏的grass杆乐器)
923,󲪪,1、落（在）；2、掉在；,"1. fall, drop(在) ; 2. 掉在; "
924,󲪫,在,在
925,󲪬,1、汉（族）；2、商（彝语古语）；,1. 汉(族) ; 2. 商(彝语ancient saying) ; 
926,󲪭,征(税）；,征(税）; 
927,󲪮,绺（liu）（量词）,绺(liu)  (量词)
928,󲪯,（穷骨皮上撞伤）起泡,"(穷骨皮上撞伤) rise, get up泡"
929,󲪰,我,我
930,󲪱,八（数词）,eight (数词)
931,󲪲,拜（年、天地）,"拜 (年, sky, heavenplace, location)"
932,󲪳,1、族（人）；2、（某地、某类）人；3、（姑父、公公）；,"1. 族(person, people) ; 2. (某place, location, 某class) person, people; 3, (姑父, 公公) ; "
933,󲪴,（乐器的）簧片,(乐器的) 簧片
934,󲪵,（田埂）,（田埂）
935,󲪶,（语气助词）嘛,(modal particle) 嘛
936,󲪷,孵（动词）,孵 (动词)
937,󲪸,1、混沌；2、浑浊；,1. 混沌; 2. 浑浊; 
938,󲪹,制造,制造
939,󲪺,1、剪；2、裁剪；,1. 剪; 2. 裁剪; 
940,󲪻,1、（抬）高、（垫）高；2、（敷衍）；,"1. (抬) 高, (垫) 高; 2. (apply, spread衍) ; "
941,󲪼,一同，同时,"one同, 同时"
942,󲪽,皴（cun）裂（（皮肤）因受冻而裂开）,"皴(cun) 裂( (皮肤) 因受冻而裂drive, operate)"
943,󲪾,爱惜,爱惜
944,󲪿,节省,节省
945,󲫀,的（人）,"的 (person, people)"
946,󲫁,1、掌握；2、（古时人名用词）,"1. 掌握; 2.  (古时person, people名用词)"
947,󲫂,（次）第,(次) 第
948,󲫃,起,"rise, get up"
949,󲫄,扶（老、弱）,"扶 (老, 弱)"
950,󲫅,1、敲打、击打；2、（斗殴）；,"1. 敲打, 击打; 2. (斗殴) ; "
951,󲫆,（拘禁、禁闭）,"（拘禁, confinement, detention）"
952,󲫇,浓,浓
953,󲫈,（决定）,（决定）
954,󲫉,通（达）,通 (达)
955,󲫊,能,能
956,󲫋,（拼着）耍,"(拼着) play, fool around"
957,󲫌,丢弃,丢弃
958,󲫍,（祷告）,（pray）
959,󲫎,颤（抖）,颤 (抖)
960,󲫏,仇怨,仇怨
961,󲫐,生、繁殖,"生, 繁殖"
